Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Klayton Wright,BET_UNI3,83.3,97.1,22,2,78.0,5.7
Eddie Scaccia,LAK_LAN,92.1,97.1,80,3,83.4,6.8
Cooper Sain,GEO_SOU,93.7,97.1,263,6,78.1,5.9
AJ Frausto,SAN_TOR,104.9,97.1,305,5,84.5,5.8
Nick Hunkele,MER_COL1,94.7,97.1,102,6,84.2,6.1
Alex Chavez,LOY_LIO,104.0,97.1,200,4,83.8,5.7
Jack Weight,WM_TRI,94.6,97.1,472,7,82.7,5.9
Zach Hart,YOU_HAR,92.5,97.1,623,6,84.0,6.3
Reid Lampert,RHO_COL,100.3,97.1,21,5,79.4,5.9
Tristin Crusenberry,CAM_UNI,98.3,97.1,92,5,83.0,5.3
Cole Marthiljohni,SAM_BEA,94.5,97.1,274,5,86.8,5.9
Kendall Dove,UTS_ROA,93.9,97.1,364,5,88.7,6.2
Adam Beery,OHI_BOB,90.0,97.1,76,6,77.8,5.2
Fischer Hendershot,EMU_EAG,98.2,97.1,279,6,84.6,5.5
Luke Siren,UNI_SAI1,103.4,97.1,144,3,84.4,5.2
Brandon Willoughby,AVE_MAR,103.0,97.1,124,3,80.7,5.0
Aidan Dowd,FOR_RAM,93.1,97.1,830,9,82.6,5.1
Xavier Hart,CAR_EAG,91.0,97.1,146,5,81.2,6.5
Bodie Eilertson,PIE_LIO,87.6,97.1,79,3,79.1,6.1
Kevin Maurer,NAV_MID,93.8,97.1,243,4,81.8,5.7
Conner Doucet,TEX_BOB,92.1,97.1,47,2,83.5,5.9
Tahj Henrie,UTS_EAG,87.0,97.1,146,4,79.8,5.8
Hamilton Finefrock,CLA_CLA,105.2,97.1,108,2,75.0,5.1
James Trimble,LOU_CAJ,103.9,97.1,199,8,87.7,5.9
Joe Gold,BOC_EAG,99.5,97.1,65,5,85.7,5.4
Eric Pettipiece,GOS_COL,81.8,97.0,98,4,77.9,6.3
Chad Martin,BRI_EAG,91.4,97.0,13,1,79.2,5.2
Ryan Ursery,SOU_ARK2,90.9,97.0,72,3,82.6,6.3
Reagan James,ALV_CCO,96.5,97.0,235,6,82.2,5.8
Matthew Buchanan,VIR_CAV,94.3,97.0,216,9,81.0,5.6
Brady Thomas,JAC_GAM,102.6,97.0,243,6,86.2,6.3
Dylan Duke,STJ_HAW,99.7,97.0,103,7,81.2,5.6
Blake Sehlke,OAK_GOL,97.4,97.0,314,7,80.4,5.5
Drew Druckenmiller,SAM_BUL,110.0,97.0,287,4,86.4,5.7
Matthew Rivera,BAR_COL,90.3,97.0,81,3,86.1,6.4
Bryant Quimby,UNI_WES1,93.1,97.0,96,3,83.4,5.5
Henry Collins,SEW_TIG,96.2,97.0,61,3,81.7,6.6
Chris Giordano,ERS_COL,94.9,97.0,68,3,80.1,5.7
Jacob Havern,LOU_BUL,99.1,97.0,62,6,89.6,5.7
Britton Wildasin,GOL_COL,101.8,97.0,20,3,78.0,6.0
Justin Guiliano,PUR_BOI,98.1,97.0,188,6,78.1,6.2
Colby McNeely,RID_BRO,105.2,97.0,154,4,85.7,6.4
Cade Connolly,MIC_WOL,95.7,97.0,401,5,83.6,6.0
Ryan Piech,IU,117.7,97.0,67,5,89.6,6.3
Noah Keller,COR_BRE,103.4,97.0,338,6,84.1,6.3
Peyton Fiene,TAR_TEX,90.6,97.0,84,5,85.6,5.6
Blake Goodridge,AUS_COL,81.8,97.0,54,3,78.8,5.7
Agyei Quinichett,KEN_OWL,109.2,97.0,34,2,79.4,5.8
Zachary Wilson,CHO_UNI,82.4,97.0,28,4,77.1,6.3
Mattox Meeks,FGCU,89.3,97.0,63,5,83.0,5.9
Julian Mlodzinski,FLO_PAN,101.9,97.0,342,5,87.2,6.0
Tristan Pearl,BAB_COL,78.9,97.0,39,1,82.0,6.8
Jonathon Van Ness,BEL_BRU,100.5,97.0,410,6,80.1,5.9
Jorden Espinoza,TEX_RAI,111.3,97.0,104,4,87.2,5.5
Andrew Abler,HAR_CRI,92.3,97.0,330,9,80.4,5.7
Bryan Peck,WES_COL,94.4,97.0,254,8,84.7,5.2
Sean Bencosme,STU_BOB,96.0,96.9,397,7,84.8,6.1
Gage Driskell,PAN_COL,87.0,96.9,106,6,84.0,5.5
Skylar Jones,NEW_PRI,111.6,96.9,451,7,89.5,5.4
Isaac Williams,ELO_PHO,106.1,96.9,51,3,79.8,6.0
Hiroyuki Yamada,SOU_IND16,101.0,96.9,341,5,84.1,5.4
Cody Callahan,NOR_AGG,97.8,96.9,74,4,86.3,6.0
Jackson Gaspard,MER_BEA,91.2,96.9,567,7,84.0,5.8
Ethan Collins,POM_COL,100.8,96.9,717,8,80.4,5.7
Kolby Pascarelli,OHI_BOB,100.7,96.9,42,3,79.0,6.0
Tyler Bogusz,EAS_TEX,94.2,96.9,427,4,80.9,5.9
Tim Reinholz,QUI_HAW,85.1,96.9,51,3,82.8,5.5
Andrew Rogovic,NOR_HUS,121.7,96.9,15,3,88.7,6.3
Adam Katz,DAV_WIL,96.3,96.9,298,7,84.6,5.4
Reece Marley,ILL_ILL,91.4,96.9,65,3,83.4,5.3
Sean Glinski,D'Y_UNI,89.1,96.9,32,3,76.6,5.3
Louis Stallone,SAC_PIO,87.7,96.9,72,4,80.3,6.0
Michael Fortes,DAY_FLY,100.0,96.9,87,5,88.1,5.9
Jack Kelley,AKR_ZIP,94.9,96.9,690,8,84.2,5.8
Tomas Cestero,SET_PIR,103.0,96.9,414,7,83.8,6.5
Asher Hastings,SOU_ARK,100.8,96.9,58,3,82.8,6.3
Ty Uchman,GEO_PAT,100.4,96.9,92,3,79.0,6.3
Daniel Smith,DAV_WIL,88.0,96.9,283,10,80.6,6.4
Braden Wellen,Gol_W,111.4,96.9,131,4,86.3,6.3
Tristan Nemjo,HOF_PRI,92.1,96.9,841,8,81.2,6.3
Jace Presley,GAR_RUN,93.7,96.9,381,7,82.3,5.4
Christian Okerholm,UTS_ROA,85.7,96.8,393,8,85.1,5.2
Jake Ferretti,Gol_W,101.3,96.8,196,6,83.0,5.4
Knickolas Billings,CUM_PAT,94.7,96.8,532,7,83.4,5.5
Sullivan Brackin,SAN_JAC,103.8,96.8,172,3,91.1,6.7
Braden Wilson,EMB_(AZ,97.1,96.8,26,3,77.8,5.7
Jack Renaud,QUN_RYL,89.6,96.8,292,6,84.4,5.7
Dylan Vega,MAR_LIO,91.4,96.8,592,11,83.8,6.0
Cooper Montelbano,FDU_KNI,92.2,96.8,92,4,81.9,4.7
Braden Welch,USC_BEA,83.5,96.8,22,5,82.4,5.9
Devin Grazzal,DAY_FLY,99.1,96.8,82,5,80.5,6.3
Kadin Muckley,Gol_W,117.6,96.8,35,3,88.2,5.9
Cooper Johnson,OLE_REB,101.2,96.8,61,4,82.5,6.3
Thomas Kuhlow,SOU_WES,87.3,96.8,23,3,75.8,6.8
Ethan Murphy,SPA_UNI,93.7,96.8,31,3,82.5,5.7
James Nichols,MER_COL1,93.6,96.8,158,6,82.8,5.7
Jon Crawley,PAC_LUT,86.5,96.8,81,3,76.4,4.9
Jacob Iverson,EMO_HEN,96.5,96.8,127,6,85.2,5.8
Brooks Chamberlin,PRE_BLH,91.0,96.8,134,7,82.7,5.4
Hayden Donahue,MT,100.8,96.8,208,5,84.3,5.4
Shea Kuiack,NOR_OKL,85.3,96.8,69,4,83.2,5.7
Evan Rishell,MIL_UNI2,104.3,96.8,314,5,81.5,6.4
Colby Barker,MER_COL1,97.1,96.8,73,4,82.3,5.7
Kaleb Owens,AND_TRO,99.5,96.8,370,7,85.0,6.3
Gunner Massey,RLC_WRS,95.7,96.8,32,4,78.5,4.7
Jackson Duncan,DAY_FLY,94.3,96.8,145,5,88.3,7.6
Braxton Shaffer,IOW_CEN,98.6,96.8,206,4,87.1,5.8
Eric Schumann,EMB_(AZ,85.8,96.8,139,5,76.1,5.8
Jackson Vanesko,BRY_BUL,97.9,96.8,560,6,83.0,6.4
Torin Kassebaum,LON_ISL22,92.0,96.8,69,3,74.2,5.5
Tyler Swineford,MAN_MOU,86.1,96.8,85,4,77.1,6.2
Isaiah Mingus,CAL_COM,70.6,96.8,6,2,78.1,5.4
Simon Yochum,DAV_WIL,94.6,96.7,354,7,78.5,5.9
Spencer Wilkins,TNU,93.1,96.7,185,4,83.4,5.4
Luke Connors,MOY_MOY,95.6,96.7,85,4,83.2,6.0
Stefan Swee,MON_HAW,98.6,96.7,146,4,84.5,6.0
Theo Nagy,PUR_FOR,91.9,96.7,44,2,81.4,5.9
Gabe Schneider,WAS_COU,92.8,96.7,249,5,84.5,5.6
Dylan Hawkes,DIX_STE,103.9,96.7,132,4,88.1,5.7
Will Sherman,EC,97.1,96.7,322,4,81.6,5.7
Damon Anderson Wolf,SAD_GAU,89.6,96.7,92,6,78.0,5.5
Taylor Blevins,MAN_MOU,85.6,96.7,17,3,74.6,6.0
Eli Kasiski,CYP_CHR,93.5,96.7,51,4,80.2,5.0
Mathew McMahan,COL_CUG,95.3,96.7,52,4,75.1,6.3
Keymoni Coleman,DIL_UNI1,73.8,96.7,9,1,85.4,5.5
Joe Seiber,VAL_CRU,93.0,96.7,315,6,85.3,5.1
Stephen Curry,SET_PIR,99.7,96.7,462,7,86.1,5.9
Jackson Elizondo,IWC,88.4,96.7,207,5,80.1,6.0
Martin Polonkay,WAL_UNI,84.0,96.7,68,3,79.1,6.2
Aidan Christmas,CEN_COL,100.6,96.7,283,5,84.1,6.2
Chase Kurtz,SOU_WES,91.3,96.7,155,5,76.3,5.5
Jayson Thomas,CYP_CHR,95.4,96.7,236,5,79.7,4.9
Sam Duvall,FRA_MAR1,93.9,96.7,63,3,82.9,4.8
Jake Beaty,APP_MOU,90.5,96.7,454,7,82.5,6.1
Isaac Cychosz,UNO_MAV,93.1,96.7,214,6,83.7,5.7
Jason Moist,GVU_VIK,83.1,96.7,61,3,78.3,5.3
Jesus Delgado,STU_BOB,93.4,96.7,276,7,80.3,5.8
Ryan Chambers,WAL_UNI,96.4,96.7,33,4,78.5,5.4
Aidan Melendrez,WOU_WOL,82.4,96.7,71,3,75.8,5.3
Max Haug,GEO_COL,99.8,96.7,833,7,85.0,6.2
Nolan Tillitt,LOY_LIO,105.0,96.7,81,3,91.4,6.2
JD Lewis,MAR_LIO,95.8,96.7,89,8,83.5,5.4
Cayden Borchers,GRA_COL,86.2,96.7,53,4,78.6,5.6
Cooper Emery,TUS_PIO,99.0,96.7,472,7,83.7,5.7
Aiden Leggett,HEN_COL,112.0,96.7,14,1,86.4,5.8
Noah Cantleberry,EC,96.2,96.7,396,5,83.1,5.7
Bryce McKnight,ARI_WIL,101.5,96.7,111,7,86.6,5.4
Jack Brafa,TEN_TEC,89.4,96.6,217,5,84.7,6.4
Ryan Weller,BEL_ABB,114.1,96.6,92,4,84.1,5.5
Blaine Rowland,FLA_GAT,97.3,96.6,112,6,84.9,5.1
Derek Westfall,QUN_RYL,104.4,96.6,341,7,85.3,5.3
Nick Harnisch,HOL_CRU,90.3,96.6,154,7,80.6,5.9
Rylan Haider,WAS_COU,96.4,96.6,237,6,82.4,6.2
Brandon Nigh,OAK_GOL,99.4,96.6,18,3,86.0,4.9
Evan Yakavonis,WHE_C,83.1,96.6,22,3,78.4,5.7
Nick Morgan,LAG_RAN,78.6,96.6,40,4,80.5,5.9
Marshall Mott,PEN_QUA,102.2,96.6,199,6,82.3,5.8
Ty Holman,SLU_BILL,90.6,96.6,292,6,85.3,6.5
Parker Bleck,UWM_PAN,95.1,96.6,78,6,83.0,6.1
Alik Avila,WIL_CAR,105.8,96.6,127,6,84.3,6.1
Josh Fernald,JUD,106.9,96.6,53,5,84.8,5.7
Cameron Gallardo,FRE_PAC,97.1,96.6,322,5,86.1,6.1
Payton Allen,GRA_TIG,94.8,96.6,53,4,80.7,5.7
Enas Hayden,PUR_BOI,104.6,96.6,173,6,86.1,6.2
AJ Beltre,SAN_TOR,96.8,96.6,69,4,86.4,5.6
Eric Rawlings,WIU_LEA,96.3,96.6,75,5,87.0,5.1
David Johnson,MID_GEO,93.8,96.6,31,3,86.9,5.7
Jake Holbert,SHE_UNI,95.8,96.6,112,4,74.3,6.0
Jaden Harris,BYU_COU,98.4,96.6,991,9,86.3,5.8
Jaydon Bishop,FLO_PAN,104.0,96.6,447,8,85.2,5.6
Matthew Janecek,STM_RAT,97.9,96.6,37,5,83.0,5.5
Joey Mitchell,SHE_UNI,101.5,96.6,372,8,82.7,5.4
Tucker McSwain,LIM_STO,100.7,96.6,87,3,86.7,6.2
Kejuan Burnett,DIL_UNI1,88.1,96.6,89,1,86.1,5.9
Kohen Orr,CLE_CLE2,90.7,96.5,68,3,79.8,5.3
Matt Dreher,UNO_MAV,108.5,96.5,146,7,85.1,5.1
Hank Shield,RHO_COL,101.7,96.5,10,2,82.7,5.5
Conor Sweeny,MOT_COM,91.0,96.5,81,4,81.7,6.3
Elias Valdez,Gol_W,96.2,96.5,57,4,85.2,6.1
Isaac Hines,AVE_MAR,96.9,96.5,172,5,82.4,5.8
Chase Sorlie,SAC_HOR,93.5,96.5,75,5,83.4,5.7
John Lobs,WCC,100.2,96.5,88,3,84.5,6.0
Jayce Park,OLD_MON,94.5,96.5,182,6,81.2,6.4
Ernie Gonzalez,SAC_DON,89.6,96.5,50,4,81.6,5.2
Harris Bryson,PIE_LIO,85.2,96.5,31,3,79.4,6.3
Noah Lewis,HAM_COL,91.3,96.5,83,1,83.9,5.5
James Fordham,GEO_SOU,104.2,96.5,291,6,84.7,6.0
Jake Hartman,CAR_COL,104.4,96.5,30,2,81.5,6.4
Andrew Ressler,SOU_COU,97.8,96.5,257,8,81.2,5.4
Nick Judd,TNU,95.4,96.5,98,3,85.0,5.4
Aidan Haynes,ULM_WAR,100.6,96.5,334,5,86.3,5.8
Chris Arroyo,VIR_CAV,106.8,96.5,238,6,87.8,5.8
Xavier Campbell,CLA_PAN,93.3,96.5,126,3,83.2,5.8
Childers Winn,SEW_TIG,83.5,96.5,51,3,79.2,6.3
Tyler Greenleaf,CAN_GRI,97.9,96.5,95,5,84.2,6.6
Matt Weber,DAV_WIL,96.9,96.5,507,9,82.1,5.4
Chris Lotito,JUD,112.6,96.4,72,4,86.0,5.1
Tripp Patterson,ALA_LIO,93.1,96.4,481,7,80.4,6.3
Liam Stumpf,CEN_MIC,95.0,96.4,534,6,85.2,5.4
David Walker,BRY_COL,108.4,96.4,64,5,82.2,5.2
Jeremiah Holder,LAF_LEP,100.6,96.4,318,7,84.9,6.4
Matthew Lafevers,RAD_HIG,84.6,96.4,327,5,82.0,6.2
Brian Lowry,GEO_COL1,102.9,96.4,91,5,76.6,5.6
Ethan Plog,IOW_WES,101.8,96.4,68,4,83.5,5.2
Benjamin Stubbs,FLA_COL,101.3,96.4,223,5,89.4,5.4
Garrett Mackowiak,GEO_EAG,100.1,96.4,39,4,78.2,5.4
Danny Will,DAR_GRE,89.3,96.4,283,9,79.7,5.9
Riley Cahill,DAY_FLY,103.8,96.4,63,4,81.1,5.5
Quinn Berglin,RUT_SCA,102.5,96.4,746,5,80.0,5.6
Hunter Hammond,WES_COL,84.5,96.4,137,3,80.9,6.0
Mason Self,RAD_HIG,99.1,96.4,247,4,82.2,5.8
Matthew Osteen,LOU_CAJ,90.4,96.4,150,6,84.9,5.4
Zane Danielson,PUR_FOR,95.9,96.4,352,4,78.5,6.1
Ishaan Khambal,SAN_SPA,99.8,96.4,18,3,84.5,5.8
Sawyer Toney,NEW_PRI,96.5,96.4,254,9,83.5,5.5
Landon Crumbley,ETS_BUC,93.8,96.4,570,5,84.4,5.5
Preston Tompkins,HEN_COL,97.4,96.4,59,1,84.4,5.7
Ethan Osada,KEN_OWL,104.1,96.4,231,4,92.3,6.8
John Tully,BAT_COL,97.2,96.4,105,4,85.3,5.6
Casey Cleghorn,COK_COB,88.5,96.4,104,3,79.5,5.8
Connor Throneberry,PEN_NIT,95.0,96.4,96,7,79.7,5.6
Holden Groher,BEL_KNI,93.8,96.4,78,3,80.3,5.2
Easton Davies,SLC_CCB,100.9,96.4,57,4,88.1,6.6
Derek Fravel,SET_HIL,89.7,96.4,12,1,76.4,5.2
Cranz Smelcer,AIR_FOR,94.7,96.4,686,10,84.0,6.5
Braden Lewis,CAR_UNI,80.0,96.4,66,5,72.3,6.1
Evan Holewinski,KS_GF,102.7,96.4,90,3,83.2,6.1
Devin Doyle,GVU_VIK,96.3,96.4,56,3,82.9,5.8
Connor Bryson,HEN_COL,87.7,96.3,35,1,82.8,5.8
Logan Wiley,UMBC_RET,96.2,96.3,508,6,79.2,5.4
Brandon Adams,NOF_OSP,107.9,96.3,47,5,86.4,6.0
Jonathon Stevens,MTSU_BLU,94.7,96.3,397,6,81.8,4.9
Ryan Bailey,MAR_TER,98.0,96.3,144,3,87.0,6.0
Ka'imi Kahalekai,LON_DIR,101.8,96.3,414,6,87.9,6.1
Brennan Tomhave,ILL_WES,87.5,96.3,17,2,84.7,7.1
Camden Troyer,LIB_FLA,99.9,96.3,21,3,86.6,4.8
Camden Clewett,BAY_BEA,91.4,96.3,88,3,83.8,5.0
Tyler Heflin,YSU_PEN,95.7,96.3,347,6,86.8,5.3
Tyler Andrews,UWM_PAN,93.1,96.3,95,5,83.0,5.5
Ethan Gardner,DIX_STE,101.4,96.3,195,8,89.9,5.7
Cade Mungle,OLN_CEN,91.0,96.3,35,3,76.2,6.4
Cj Hurley,NIA_EAG,89.2,96.3,157,5,82.6,6.1
Noah Tofan,SUL_ROS,90.8,96.3,72,3,80.8,5.5
Bradley Poynter,MOR_EAG,85.2,96.3,532,7,81.1,5.9
Tyler Olson,TAR_TEX,91.4,96.3,168,6,84.5,5.1
Calvin Burkholder,OBE_COL,91.0,96.3,94,3,77.8,6.0
Jordan La Tour,IOW_CEN,92.9,96.3,20,2,90.6,4.6
Anthoni Kiafoulis,PEN_QUA,119.3,96.3,45,3,81.9,5.5
Tommy White,MEX_LOB,93.9,96.3,484,5,82.2,5.6
Sam Burgess,CAL_LAN,99.6,96.3,187,5,81.1,5.3
Zachary Kwasny,BAL_CAR,97.3,96.3,187,6,84.2,5.9
Easton Corey,LIN_BEN,91.7,96.3,59,2,86.4,5.6
Hayden Henry,CHA_BUC,102.5,96.3,356,7,83.1,5.5
Dylan Torres,SAC_HOR,103.3,96.3,81,5,85.8,5.4
Jake Neely,ARI_SUN,104.6,96.3,70,3,87.9,5.7
Grady Lacourciere,HOF_PRI,99.9,96.3,589,7,82.0,5.7
August Richie,VIR_CAV,102.4,96.3,29,6,85.8,5.8
Jayden Dillard,MAR_HAW,101.0,96.3,93,2,78.3,5.1
Carson Samuels,DAY_FLY,94.8,96.3,340,5,82.5,5.6
Nick Discher,IOW_CEN,86.1,96.3,38,4,82.2,5.5
James Morice,NOR_HUS,111.7,96.2,65,3,88.3,5.5
Jonathan Bautista,GEO_SOU,101.3,96.2,194,4,87.6,5.6
Brady Frederick,ETS_BUC,86.5,96.2,762,6,81.0,5.4
Marco Fuentes,RIC_OWL,100.5,96.2,317,6,86.9,5.6
Kaleb Marrs,OLN_CEN,90.0,96.2,92,4,79.9,5.8
Gavin Derr,WAS_COU,96.1,96.2,189,4,85.6,5.5
Will Pearson,IOW_HAW,104.9,96.2,72,5,85.7,5.7
Brant Voth,ARK_LIO,89.9,96.2,277,5,77.3,5.8
Jason Libby,MAI_BLA,93.9,96.2,277,5,87.1,5.7
Kyler Mentzel,HBU_HUS,118.2,96.2,141,5,84.7,5.7
Niko Janssens,FLA_GAT,103.0,96.2,128,5,86.1,5.6
Riley Treadaway,WIN_BUL,87.2,96.2,97,3,79.1,4.5
Josh Willitts,RIC_SPI,106.0,96.2,93,8,88.3,5.8
Logan Bingham,MTSU_BLU,100.0,96.2,121,4,81.0,6.1
Chase Ennis,LYN_UNI,91.4,96.2,47,3,80.7,5.6
Landon Massey,UNI_THE1,86.9,96.2,21,2,73.0,5.9
Leonardo Bravo,PRA_PAN,86.3,96.2,35,4,83.4,5.6
Daniel Courtney,NOR_GEO3,87.6,96.2,425,4,75.6,6.9
Zack McRae,EMO_HEN,90.1,96.2,8,1,86.0,5.1
Nick Coniglio,NOR_HUS,95.4,96.2,16,2,86.5,6.0
Hunter Bell,STO_COL,88.9,96.2,52,3,82.2,6.0
Brady Pavlovsky,SAN_SPA,99.5,96.2,114,3,87.9,5.6
Jude Favela,SOU_TRO,94.2,96.2,333,6,84.7,5.8
Myles Dismute,LON_BEA,98.5,96.2,322,6,83.2,6.5
Carter Campau,CEN_MIC,92.9,96.2,37,4,87.0,5.9
Jacob Ruiz,STJ_RED,97.3,96.2,185,7,84.4,6.2
Jordan Vera,FGCU,94.8,96.2,446,8,85.6,6.2
Jake Jackson,LIN_WIL1,76.8,96.2,28,3,79.7,5.5
Houston Wedgeworth,POI_UNI,87.2,96.2,96,6,75.8,6.4
Mason Clark,SOU_WES1,90.7,96.2,320,11,80.5,6.1
Justin Johnson,MAR_UNI3,81.2,96.2,16,3,75.9,5.3
Cole Yennaco,MER_COL1,86.5,96.2,91,6,81.3,6.0
Rocky King,ARI_CHR,90.4,96.1,35,4,70.4,5.6
Kaden Kram,PRI_TIG,90.7,96.1,463,6,77.0,5.4
Kobie Cushing,LEN_BEA,108.5,96.1,94,4,87.7,5.9
Trevor Hanselman,FLO_RAT,98.3,96.1,162,5,85.9,5.5
Zack Busick,LIT_TRO,100.8,96.1,167,5,87.8,5.6
Ryan Broderich,STU_BOB,87.9,96.1,153,6,81.9,5.0
Clark Scallon,NOR_TEX,96.1,96.1,45,3,88.7,5.3
Ian Mowad,PAL_COM,98.4,96.1,128,5,81.7,5.1
Harrison Dubois,WIU_LEA,88.2,96.1,141,3,82.0,5.8
Will Deblanc,CAM_COL,85.8,96.1,65,4,80.4,5.0
Kody Perry,CLA_CLA,98.3,96.1,134,5,81.1,5.8
Seth Coxie,MAR_LIO,92.1,96.1,273,8,80.9,5.2
Tyler Herges,AZU_PAC,91.6,96.1,19,3,84.1,5.7
Blake Pacheco,FLO_RAT,89.7,96.1,90,4,81.2,5.7
Matt Hudspeth,SEM_STA,105.3,96.1,77,4,85.6,6.1
Garrett Niebrugge,OLN_CEN,89.7,96.1,7,2,75.8,5.6
Matthew Sapienza,GEO_HOY,94.1,96.1,190,5,84.0,5.8
Reed Interdonato,WM_TRI,116.2,96.1,619,5,89.2,5.1
Logan Anderson,POR_PIL,96.9,96.1,188,6,82.3,5.7
Pete Jezerinac,KEN_OWL,104.3,96.1,151,5,88.1,5.5
Conor Smith,VIL_WIL,88.4,96.1,14,3,80.8,6.1
Trent Shields,STU_BOB,96.7,96.1,201,5,83.4,5.7
Tyler Herrera,CEN_COL1,84.0,96.1,272,4,77.0,5.7
Garrett Shupe,NOR_BIS,90.3,96.1,159,4,84.4,5.6
Tyler Suttner,IOW_CEN,95.6,96.1,43,3,82.6,6.0
Caydon Laird,LEN_BEA,95.2,96.1,81,4,82.9,6.1
Peyton Consigli,CAN_GRI,101.6,96.1,281,5,83.3,6.3
Dylan Hill,TEX_ISL,87.2,96.1,36,3,87.1,5.6
Eddie Dolansky,NIA_EAG,88.3,96.1,83,3,84.3,6.8
George Viebrock,MIC_SPA,82.6,96.1,286,4,78.8,5.2
Joey Collier,AIR_FOR,95.5,96.1,142,5,82.6,5.4
Connor Cummiskey,CIT_BUL,101.3,96.1,385,6,87.1,4.9
Brandon Stephens,COP_STA,97.3,96.1,176,4,80.9,6.5
Gabe Brabec,GON_BUL,98.4,96.1,444,4,80.7,5.7
Jared Ure,ORA_GOL,97.1,96.1,448,8,83.5,5.6
Evan Borst,GVU_VIK,105.9,96.1,31,2,89.4,5.7
Noah Hertzler,WM_TRI,118.0,96.0,315,7,84.6,5.8
Coleman Fletcher,CAL_UNI,83.7,96.0,74,3,79.7,6.4
Landon Moore,UNI_MOB,84.1,96.0,33,3,83.3,5.9
Ben Dean,DAY_FLY,110.4,96.0,285,8,89.7,5.9
Nate Jennewein,COR_BRE,94.3,96.0,220,5,78.1,6.6
Reese Ligtenberg,NOR_BIS,85.8,96.0,185,5,87.9,6.7
James McCoy,KEN_WIL,99.5,96.0,212,8,85.7,6.2
Daniel Guevara Castro,STM_GAE,101.5,96.0,393,5,82.8,6.1
Varun Gabbita,CAL_TEC,80.4,96.0,97,4,73.4,5.4
Drew Siegner,CAM_CAM,97.1,96.0,394,8,84.6,5.5
Christian Finnigan,BUT_BUL,96.4,96.0,131,4,80.9,5.8
Trent Murphy,PUR_FOR,96.6,96.0,254,6,81.9,5.0
Ahmad Harajli,MIA_RED,102.4,96.0,333,8,89.8,6.5
AJ Pino,FOR_RAM,98.3,96.0,200,6,84.0,5.5
Cooper Corkrean,GAL_WCS,99.8,96.0,99,4,84.3,6.4
Jack Armstrong,IND_SYC,95.9,96.0,573,5,85.2,6.9
Ryan Taylor,NOR_GEO3,101.3,96.0,294,6,82.5,6.4
Carter Wall,UTA_UTE,94.8,96.0,95,5,83.2,5.6
Aidan Hatcher,BUT_BUL,95.5,96.0,250,4,82.8,5.8
Jake Lambdin,XAV_MUS,93.5,96.0,28,4,79.1,5.1
Brandon Rice,MSM_MTN,93.9,96.0,188,3,84.0,5.4
Coleman Wylie,SOU_WES1,92.4,96.0,268,6,79.1,6.4
Preston Drebes,LEN_BEA,98.7,96.0,192,7,81.5,5.9
Ben Plumley,ILL_ILL,101.0,96.0,682,7,86.3,5.9
Parker Adams,FLA_COL,91.8,96.0,24,4,80.8,6.0
Aaron Moss,IND_SYC,95.9,96.0,230,6,84.9,6.1
Ethan Orwig,UNI_COL,87.3,96.0,63,3,81.6,5.3
Cayden Towell,SOU_WES1,93.8,96.0,183,6,77.3,6.0
Scott Bauman,SAN_FRA3,99.0,96.0,29,5,81.1,5.0
Tyler Smith,SAL_JAG,90.8,96.0,646,7,85.3,5.4
Jeremiah Hampton,PRE_BLH,91.7,96.0,143,5,79.8,5.9
Nicholas Angelakos,BER_COL,81.0,96.0,47,4,79.7,5.7
Braeden Cochran,GEO_SOU,92.6,96.0,306,4,83.3,5.4
Carlos Jazmin,BET_WIL,101.9,96.0,35,6,84.8,5.9
Layndon Carter,LIN_MEM,89.6,95.9,72,4,79.6,5.5
Andrew Herrmann,LOU_CAJ,90.4,95.9,966,8,78.7,5.5
Brady Blum,DEL_BLU,101.3,95.9,114,5,83.6,5.5
Erik Radder,RED_UNI,85.7,95.9,99,3,81.4,5.5
Jason Buhl,WIU_LEA,94.6,95.9,320,9,79.3,5.5
Shugy Klein,GEO_COL,98.0,95.9,315,6,85.4,6.2
Cale Wagoner,LIM_STO,86.3,95.9,101,3,76.3,5.5
Dylan Bedder,UMASS_RIV,95.3,95.9,162,4,82.3,4.9
Garret Kangas,SAL_JAG,94.5,95.9,257,6,81.1,5.9
Jaxton Andeel,CAL_ANT,109.4,95.9,92,3,87.1,5.8
Josh Tripp,CHO_UNI,79.9,95.9,49,3,77.0,5.3
Chandler Jones,SIM_UNI,83.6,95.9,20,2,81.8,5.8
Caden Wanless,UTR_VAQ,93.8,95.9,103,7,84.8,5.7
Landon Zaborowski,UTA_WOL,105.5,95.9,233,9,87.1,5.8
Carson Montsdeoca,FLA_GAT,97.0,95.9,135,5,85.4,5.2
Matt Palmateer,PAC_BOX,95.5,95.9,40,1,85.2,6.7
Tyler Haines,UAB_BLA,94.6,95.9,277,5,83.4,5.5
Cole Kenyon,ARK_LIO,99.2,95.9,187,9,84.4,5.9
AJ Truman,MIL_COM,92.1,95.9,20,4,76.6,5.4
Will Harrigan,COL_LION,96.8,95.9,552,8,85.5,5.5
Braxton Roberts,CAR_EAG,86.2,95.9,54,5,79.4,5.3
Noah Samol,CLE_TIG,92.5,95.9,107,6,84.9,6.0
